s,x,y,angle
B1-1,90 ,300 ,0 
B1-2,90 ,240 ,0 
B2-1,120 ,240 ,180 
B2-2,120 ,300 ,180 
B3-1,210 ,300 ,0 
B3-2,210 ,240 ,0 
B4-1,240 ,240 ,180 
B4-2,240 ,300 ,180 
B5-1,330 ,300 ,0 
B5-2,330 ,240 ,0 
B6-1,360 ,240 ,180 
B6-2,360 ,300 ,180 
B7-1,450 ,300 ,0 
B7-2,450 ,240 ,0 
B8-1,480 ,240 ,180 
B8-2,480 ,300 ,180 
B9-1,570 ,300 ,0 
B9-2,570 ,240 ,0 
B10-1,600 ,240 ,180 
B10-2,600 ,300 ,180 
B11-1,690 ,300 ,0 
B11-2,690 ,240 ,0 
B12-1,720 ,240 ,180 
B12-2,720 ,300 ,180 
B13-1,810 ,300 ,0 
B13-2,810 ,240 ,0 
B14-1,840 ,240 ,180 
B14-2,840 ,300 ,180 
B15-1,930 ,300 ,0 
B15-2,930 ,240 ,0 
B16-1,960 ,240 ,180 
B16-2,960 ,300 ,180 
B17-1,1050 ,300 ,0 
B17-2,1050 ,240 ,0 
B18-1,1080 ,240 ,180 
B18-2,1080 ,300 ,180 
B19-1,1170 ,300 ,0 
B19-2,1170 ,240 ,0 
B20-1,1200 ,240 ,180 
B20-2,1200 ,300 ,180 
B21-1,1290 ,300 ,0 
B21-2,1290 ,240 ,0 
B22-1,1320 ,240 ,180 
B22-2,1320 ,300 ,180 
B23-1,1410 ,300 ,0 
B23-2,1410 ,240 ,0 
B24-1,1440 ,240 ,180 
B24-2,1440 ,300 ,180 
B25-1,1530 ,300 ,0 
B25-2,1530 ,240 ,0 
B26-1,1560 ,240 ,180 
B26-2,1560 ,300 ,180 
B27-1,1650 ,300 ,0 
B27-2,1650 ,240 ,0 
B28-1,1680 ,240 ,180 
B28-2,1680 ,300 ,180 
B29-1,120 ,180 ,270 
B29-2,180 ,180 ,270 
B29-3,240 ,180 ,270 
B29-4,300 ,180 ,270 
B29-5,360 ,180 ,270 
B29-6,420 ,180 ,270 
B29-7,480 ,180 ,270 
B29-8,540 ,180 ,270 
B29-9,600 ,180 ,270 
B29-10,660 ,180 ,270 
B29-11,720 ,180 ,270 
B29+-1,930 ,120 ,0 
B29+-2,930 ,60 ,0 
B30-1,930 ,60 ,270 
B30-2,960 ,60 ,270 
B30-3,960 ,60 ,180 
B30-4,960 ,120 ,180 
B31-1,1050 ,120 ,0 
B31-2,1050 ,60 ,0 
B31-3,1050 ,60 ,270 
B31-4,1080 ,60 ,270 
B32-1,1080 ,60 ,180 
B32-2,1080 ,120 ,180 
B33-1,1170 ,120 ,0 
B33-2,1170 ,60 ,0 
B33-3,1170 ,60 ,270 
B33-4,1200 ,60 ,270 
B34-1,1200 ,60 ,180 
B34-2,1200 ,120 ,180 
B35-1,1290 ,120 ,0 
B35-2,1290 ,60 ,0 
B35-3,1290 ,60 ,270 
B35-4,1320 ,60 ,270 
B36-1,1320 ,60 ,180 
B36-2,1320 ,120 ,180 
B37-1,1410 ,120 ,0 
B37-2,1410 ,60 ,0 
B37-3,1410 ,60 ,270 
B37-4,1440 ,60 ,270 
B38-1,1440 ,60 ,180 
B38-2,1440 ,120 ,180 
B39-1,1530 ,120 ,0 
B39-2,1530 ,60 ,0 
B39-3,1530 ,60 ,270 
B39-4,1560 ,60 ,270 
B40-1,1560 ,60 ,180 
B40-2,1560 ,120 ,180 
B41-1,1650 ,120 ,0 
B41-2,1650 ,60 ,0 
B41-3,1650 ,60 ,270 
B41-4,1680 ,60 ,270 
B42-1,1680 ,60 ,180 
B42-2,1680 ,120 ,180 
B43-1,165 ,360 ,270 
B43-2,285 ,360 ,270 
B43-3,405 ,360 ,270 
B43-4,525 ,360 ,270 
B43-5,645 ,360 ,270 
B43-6,765 ,360 ,270 
B44-1,1005 ,360 ,270 
B44-2,1125 ,360 ,270 
B44-3,1245 ,360 ,270 
B44-4,1365 ,360 ,270 
B44-5,1485 ,360 ,270 
B44-6,1605 ,360 ,270 
B45-1,120 ,435 ,0 
B46-1,796 ,420 ,90 
B46-2,729 ,420 ,90 
B46-3,662 ,420 ,90 
B46-4,596 ,420 ,90 
B46-5,529 ,420 ,90 
B46-6,462 ,420 ,90 
B46-7,395 ,420 ,90 
B46-8,329 ,420 ,90 
B46-9,262 ,420 ,90 
B46-10,195 ,420 ,90 
B47-1,960 ,435 ,0 
B48-1,1636 ,420 ,90 
B48-2,1569 ,420 ,90 
B48-3,1502 ,420 ,90 
B48-4,1436 ,420 ,90 
B48-5,1369 ,420 ,90 
B48-6,1302 ,420 ,90 
B48-7,1235 ,420 ,90 
B48-8,1169 ,420 ,90 
B48-9,1102 ,420 ,90 
B48-10,1035 ,420 ,90 
